,Accountable_Organization,Implementing_Organization,Award_Status,Award_Total_Estimated_Value,Award_Start_Date,Award_End_Date,Award_Transaction_Value,Award_Transaction_DAC_Purpose_Code,Award_Transaction_DAC_Purpose_Code_Name,Award_Transaction_US_Foreign_Assistance_Category,Year
14,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,21100.0,43010,Multisector aid,Program Management,2015
15,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,2499779.0,2016-10-01,2018-09-30,2499779.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
16,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,400.0,43010,Multisector aid,Multi-sector,2016
18,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,4540.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
19,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,262.5,43010,Multisector aid,Multi-sector,2016
20,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,816.399999999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
21,U.S. Agency for International Development,Enterprise - Non United States Other,Implementation,0.0,2015-10-01,2018-09-30,465.449999999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
23,U.S. Agency for International Development,Consortium for Elections and Political Process Strengthening,Implementation,7588492.21,2015-06-15,2018-06-26,72962.83,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2015
24,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-02-27,2017-09-30,68430222.1899999,72040,Emergency food aid,Humanitarian Assistance,2012
25,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,5800000.0,2016-10-01,2018-09-30,30000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
27,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2014-10-01,2017-09-30,2503.09,72010,Material relief assistance and services,Humanitarian Assistance,2014
28,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,27584451.0,2015-09-30,2017-09-30,500000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
30,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,1943590.0,2015-07-01,2017-09-30,87408.94,72010,Material relief assistance and services,Humanitarian Assistance,2015
31,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2017-09-30,6460.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
32,U.S. Agency for International Development,International Relief and Development,Completion,0.0,2013-09-30,2015-09-30,385000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2013
33,U.S. Agency for International Development,Vendor implementing direct administrative services,Implementation,0.0,2017-10-01,2018-09-30,155386.85,91010,Administrative costs,Program Management,2017
35,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,10714.26,72010,Material relief assistance and services,Humanitarian Assistance,2015
36,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,1634.09999999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
38,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,13643.2,43010,Multisector aid,Multi-sector,2016
39,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2014-10-01,2015-09-30,55.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
40,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2015-10-01,2018-09-30,1119.47,72010,Material relief assistance and services,Humanitarian Assistance,2015
41,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2014-09-30,1967.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
42,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2012-10-01,2014-09-30,1580.17,43010,Multisector aid,Program Management,2012
43,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2014-09-30,3525.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
44,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,346068.0,2016-10-01,2018-09-30,32583.9199999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
45,U.S. Agency for International Development,United Nations Children's Fund,Implementation,96314800.0,2018-01-01,2018-12-31,19500000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2018
46,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,1263.3,72010,Material relief assistance and services,Humanitarian Assistance,2012
47,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,1800000.0,2016-10-01,2018-09-30,367309.179999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
49,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2016-09-30,1410117.0,72040,Emergency food aid,Humanitarian Assistance,2012
51,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-01-10,2017-09-30,9996762.0,72040,Emergency food aid,Humanitarian Assistance,2013
52,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-09-15,2017-09-30,956255.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
53,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2014-10-01,2017-09-30,10104.3099999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
54,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,17409787.0,2015-09-30,2017-09-30,2127620.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
55,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,21907904.0,2013-09-24,2016-09-30,5389834.0,72040,Emergency food aid,Humanitarian Assistance,2013
56,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,1165.51,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
57,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2015-09-30,7817.14999999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
58,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,21000.0,43010,Multisector aid,Multi-sector,2016
59,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2016-09-30,3947.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
60,U.S. Agency for International Development,Enterprise - Non United States Other,Completion,0.0,2017-10-01,2018-09-30,27127.5499999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
61,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2015-09-30,15.0,43010,Multisector aid,Program Management,2013
63,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-05-04,2016-09-30,296572.83,72010,Material relief assistance and services,Humanitarian Assistance,2012
64,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,7005368.0,2013-10-01,2017-09-30,3321.0,72040,Emergency food aid,Humanitarian Assistance,2013
65,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,24291687.0,2015-10-01,2018-09-30,1094686.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
66,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2016-09-30,9187575.0,72040,Emergency food aid,Humanitarian Assistance,2012
68,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2013-09-30,23506.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
69,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,22000000.0,2017-07-01,2018-06-30,6937911.04999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
70,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,2499779.0,2016-10-01,2018-09-30,371684.409999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
71,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,2499779.0,2016-10-01,2018-09-30,188886.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
72,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,4954.88,43010,Multisector aid,Program Management,2014
73,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,2948.0,43010,Multisector aid,Program Management,2015
74,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-02-26,2017-09-30,379000.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
75,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,4000000.0,2013-09-05,2018-09-30,94363.0099999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
76,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,35958.5,43010,Multisector aid,Program Management,2015
77,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-09-18,2017-09-30,62300.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
78,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,2000000.0,2016-10-01,2018-09-30,492263.38,72040,Emergency food aid,Humanitarian Assistance,2016
79,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,238655.28,43010,Multisector aid,Program Management,2014
81,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,21834063.0,2013-07-01,2018-09-30,0.289999999999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
82,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-05-13,2017-09-30,85993.71,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2013
83,U.S. Agency for International Development,Vendor implementing direct administrative services,Implementation,0.0,2017-10-01,2018-09-30,61058.32,91010,Administrative costs,Program Management,2017
84,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2012-12-17,2018-09-30,5324306.41,72040,Emergency food aid,Humanitarian Assistance,2012
86,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,19878990.0,2015-10-01,2018-09-30,2817766.0,72040,Emergency food aid,Humanitarian Assistance,2015
87,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,5700000.0,2014-10-01,2017-09-30,7159.35999999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
89,U.S. Agency for International Development,United Nations Children's Fund,Implementation,24044758.0,2015-10-01,2018-09-30,2159417.1,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
90,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,5700000.0,2014-10-01,2017-09-30,138879.929999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
91,U.S. Agency for International Development,"Chemonics International, Inc.",Implementation,0.0,2015-08-28,2020-08-27,5006300.7,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2015
93,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-30,2017-09-30,39272.2699999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
96,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2014-03-01,2018-09-30,203980.179999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
97,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,11900000.0,2016-10-01,2018-09-30,915366.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
98,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,98887778.0,2015-10-01,2018-09-30,5194194.15,72040,Emergency food aid,Humanitarian Assistance,2015
101,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2016-09-30,27382.75,72010,Material relief assistance and services,Humanitarian Assistance,2012
102,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2015-09-30,17821.8699999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
103,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-02-27,2017-09-30,1624051.1,72040,Emergency food aid,Humanitarian Assistance,2012
104,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,297.5,43010,Multisector aid,Multi-sector,2016
105,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,893.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
106,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-20,2015-09-30,55366.11,72010,Material relief assistance and services,Humanitarian Assistance,2013
107,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,13643.2,43010,Multisector aid,Multi-sector,2016
108,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-07-15,2017-09-30,1512.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
109,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,5719352.0,2016-09-30,2018-05-31,79352.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
110,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,46213667.0,2012-10-30,2017-09-30,723419.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2012
111,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,26361.0999999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
112,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-05-01,2018-09-30,10895636.68,72010,Material relief assistance and services,Humanitarian Assistance,2013
114,U.S. Agency for International Development,Food and Agriculture Organisation,Completion,22200000.0,2017-10-01,2018-09-30,8274.70999999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
115,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,6683.31999999999,43010,Multisector aid,Program Management,2014
116,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,24291687.0,2015-10-01,2018-09-30,20478304.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
117,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2012-10-01,2014-09-30,6048.97999999999,23110,Energy policy and administrative management,Economic Development,2012
118,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,1120.0,74010,Disaster prevention and preparedness,Humanitarian Assistance,2016
119,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-09-18,2017-09-30,396027.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
120,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,14.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
123,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2016-10-01,2018-09-30,47687.98,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
124,U.S. Agency for International Development,International Relief and Development,Completion,0.0,2013-09-30,2015-09-30,1246435.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2013
125,U.S. Agency for International Development,United Nations Population Fund,Implementation,6700000.0,2015-10-01,2018-09-30,6587.68,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
126,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,2860190.0,2016-10-01,2018-09-30,242571.72,72040,Emergency food aid,Humanitarian Assistance,2016
127,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,30511.99,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
128,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2013-09-30,330000.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
129,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2017-09-30,24686.5,72010,Material relief assistance and services,Humanitarian Assistance,2012
131,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,6000000.0,2015-07-09,2017-09-30,1400000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
132,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,3850000.0,2016-10-01,2018-09-30,930506.31,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
133,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-05-01,2018-09-30,3996024.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
134,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,24999532.0,2015-10-01,2017-09-30,3964475.23,72010,Material relief assistance and services,Humanitarian Assistance,2015
135,U.S. Agency for International Development,United Nations Population Fund,Implementation,6700000.0,2016-08-23,2018-09-30,21940.86,72010,Material relief assistance and services,Humanitarian Assistance,2016
136,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2015-09-30,61500.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2012
137,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,30.1999999999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
139,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2015-10-01,2016-09-30,55.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
140,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-01,2017-09-30,1900000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
141,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,22273.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
142,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,39682158.0,2013-01-10,2017-09-30,3506368.0,72040,Emergency food aid,Humanitarian Assistance,2013
143,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2015-09-30,10031.94,72010,Material relief assistance and services,Humanitarian Assistance,2013
144,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,965637.38,2014-09-15,2017-09-30,57782.62,72010,Material relief assistance and services,Humanitarian Assistance,2014
145,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,2896.38,72010,Material relief assistance and services,Humanitarian Assistance,2012
146,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2014-09-30,1293.31999999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
147,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2017-09-30,700000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
148,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,41162.94,43010,Multisector aid,Program Management,2013
149,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-26,2016-09-30,624000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
150,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2013-01-07,2017-09-30,1167292.83,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2013
151,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,3942281.83999999,2015-09-15,2018-09-30,17541.16,72010,Material relief assistance and services,Humanitarian Assistance,2015
152,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-10-01,2017-09-30,1336.22,72010,Material relief assistance and services,Humanitarian Assistance,2014
153,U.S. Agency for International Development,United Nations Children's Fund,Completion,0.0,2014-01-01,2016-09-30,3000000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2014
154,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,4901.5,91010,Administrative costs,Program Management,2013
155,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-30,2017-09-30,5764560.48,72010,Material relief assistance and services,Humanitarian Assistance,2012
156,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2016-10-01,2017-09-30,10777.3799999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
157,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,3400000.0,2016-10-01,2018-09-30,653000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
158,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,1807000.0,2015-10-01,2018-09-30,579808.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
